    # iter,    oterm,    2*oterm,    orthfreq,     orthtot 
           1           1           2           1           2
           2           2           4           2           6
           3           3           6           3          12
           4           4           8           4          20
           5           5          10           5          30
           6           6          12           6          42
           7           7          14           7          56
           8           8          16           8          72
           9           9          18           9          90
          10          10          20          10         110
          11          11          22          11         132
          12          12          24          12         156
          13          13          26          13         182
          14          14          28          14         210
          15          15          30          15         240
          16          16          32          16         272
          17          17          34          17         306
          18          18          36          18         342
          19          19          38          19         380
          20          20          40          20         420
          21          21          42          21         462
          22          22          44          22         506
          23          23          46          23         552
          24          24          48          24         600
          25          25          50          25         650
          26          26          52          26         702
          27          27          54          27         756
          28          28          56          28         812
          29          29          58          29         870
          30          30          60          30         930
          31          31          62          31         992
          32          32          64          32        1056
          33          33          66          33        1122
          34          34          68          34        1190
          35          35          70          35        1260
          36          36          72          36        1332
          37          37          74          37        1406
          38          38          76          38        1482
          39          39          78          39        1560
          40          40          80          40        1640
          41          41          82          41        1722
          42          42          84          42        1806
          43          43          86          43        1892
          44          44          88          44        1980
          45          45          90          45        2070
          46          46          92          46        2162
          47          47          94          47        2256
          48          48          96          48        2352
          49          49          98          49        2450
          50          50         100          50        2550
          51          51         102          51        2652
          52          52         104          52        2756
          53          53         106          53        2862
          54          54         108          54        2970
          55          55         110          55        3080
          56          56         112          56        3192
          57          57         114          57        3306
          58          58         116          58        3422
          59          59         118          59        3540
          60          60         120          60        3660
          61          61         122          61        3782
          62          62         124          62        3906
          63          63         126          63        4032
          64          64         128          64        4160
          65          65         130          65        4290
          66          66         132          66        4422
          67          67         134          67        4556
          68          68         136          68        4692
          69          69         138          69        4830
          70          70         140          70        4970
          71          71         142          71        5112
          72          72         144          72        5256
          73          73         146          73        5402
          74          74         148          74        5550
          75          75         150          75        5700
          76          76         152          76        5852
          77          77         154          77        6006
          78          78         156          78        6162
          79          79         158          79        6320
          80          80         160          80        6480
          81          81         162          81        6642
          82          82         164          82        6806
          83          83         166          83        6972
          84          84         168          84        7140
          85          85         170          85        7310
          86          86         172          86        7482
          87          87         174          87        7656
          88          88         176          88        7832
          89          89         178          89        8010
          90          90         180          90        8190
          91          91         182          91        8372
          92          92         184          92        8556
          93          93         186          93        8742
          94          94         188          94        8930
          95          95         190          95        9120
          96          96         192          96        9312
          97          97         194          97        9506
          98          98         196          98        9702
          99          99         198          99        9900
         100         100         200         100       10100
         101         101         202         101       10302
         102         102         204         102       10506
         103         103         206         103       10712
         104         104         208         104       10920
         105         105         210         105       11130
         106         106         212         106       11342
         107         107         214         107       11556
         108         108         216         108       11772
         109         109         218         109       11990
         110         110         220         110       12210
         111         111         222         111       12432
         112         112         224         112       12656
         113         113         226         113       12882
         114         114         228         114       13110
         115         115         230         115       13340
         116         116         232         116       13572
         117         117         234         117       13806
         118         118         236         118       14042
         119         119         238         119       14280
         120         120         240         120       14520
         121         121         242         121       14762
         122         122         244         122       15006
         123         123         246         123       15252
         124         124         248         124       15500
         125         125         250         125       15750
         126         126         252         126       16002
         127         127         254         127       16256
         128         128         256         128       16512
         129         129         258         129       16770
         130         130         260         130       17030
         131         131         262         131       17292
         132         132         264         132       17556
         133         133         266         133       17822
         134         134         268         134       18090
         135         135         270         135       18360
         136         136         272         136       18632
         137         137         274         137       18906
         138         138         276         138       19182
         139         139         278         139       19460
         140         140         280         140       19740
         141         141         282         141       20022
         142         142         284         142       20306
         143         143         286         143       20592
         144         144         288         144       20880
         145         145         290         145       21170
         146         146         292         146       21462
         147         147         294         147       21756
         148         148         296         148       22052
         149         149         298         149       22350
         150         150         300         150       22650
         151         151         302         151       22952
         152         152         304         152       23256
         153         153         306         153       23562
         154         154         308         154       23870
         155         155         310         155       24180
         156         156         312         156       24492
         157         157         314         157       24806
         158         158         316         158       25122
         159         159         318         159       25440
         160         160         320         160       25760
         161         161         322         161       26082
         162         162         324         162       26406
         163         163         326         163       26732
         164         164         328         164       27060
         165         165         330         165       27390
         166         166         332         166       27722
         167         167         334         167       28056
         168         168         336         168       28392
         169         169         338         169       28730
         170         170         340         170       29070
         171         171         342         171       29412
         172         172         344         172       29756
         173         173         346         173       30102
         174         174         348         174       30450
         175         175         350         175       30800
         176         176         352         176       31152
         177         177         354         177       31506
         178         178         356         178       31862
         179         179         358         179       32220
         180         180         360         180       32580
         181         181         362         181       32942
         182         182         364         182       33306
         183         183         366         183       33672
         184         184         368         184       34040
         185         185         370         185       34410
         186         186         372         186       34782
         187         187         374         187       35156
         188         188         376         188       35532
         189         189         378         189       35910
         190         190         380         190       36290
         191         191         382         191       36672
         192         192         384         192       37056
         193         193         386         193       37442
         194         194         388         194       37830
         195         195         390         195       38220
         196         196         392         196       38612
         197         197         394         197       39006
         198         198         396         198       39402
         199         199         398         199       39800
         200         200         400         200       40200
